Date,usd_cny,cnh_usd,us_10y_yield
2010-01-04,6.81689977645874,6.848209857940674,3.8410000801086426
2010-01-05,6.816999912261963,6.848209857940674,3.755000114440918
2010-01-06,6.818299770355225,6.848209857940674,3.808000087738037
2010-01-07,6.817800045013428,6.848209857940674,3.822000026702881
2010-01-08,6.817500114440918,6.848209857940674,3.808000087738037
2010-01-11,6.816500186920166,6.848209857940674,3.818000078201294
2010-01-12,6.8165998458862305,6.848209857940674,3.7190001010894775
2010-01-13,6.816800117492676,6.848209857940674,3.7829999923706055
2010-01-14,6.816999912261963,6.848209857940674,3.7339999675750732
2010-01-15,6.816999912261963,6.848209857940674,3.6760001182556152
2010-01-18,6.816800117492676,6.848209857940674,
2010-01-19,6.816800117492676,6.848209857940674,3.7070000171661377
2010-01-20,6.817299842834473,6.848209857940674,3.6589999198913574
2010-01-21,6.817699909210205,6.848209857940674,3.6110000610351562
2010-01-22,6.816999912261963,6.848209857940674,3.5980000495910645
2010-01-25,6.81689977645874,6.848209857940674,3.630000114440918
2010-01-26,6.8165998458862305,6.848209857940674,3.630000114440918
2010-01-27,6.816999912261963,6.848209857940674,3.6440000534057617
2010-01-28,6.81689977645874,6.848209857940674,3.6579999923706055
2010-01-29,6.81689977645874,6.848209857940674,3.6089999675750732
2010-02-01,6.816999912261963,6.848209857940674,3.6540000438690186
2010-02-02,6.815000057220459,6.848209857940674,3.634999990463257
2010-02-03,6.81689977645874,6.848209857940674,3.703000068664551
2010-02-04,6.81689977645874,6.848209857940674,3.609999895095825
2010-02-05,6.81850004196167,6.848209857940674,3.5460000038146973
2010-02-08,6.816999912261963,6.848209857940674,3.5920000076293945
2010-02-09,6.8165998458862305,6.848209857940674,3.632999897003174
2010-02-10,6.818999767303467,6.848209857940674,3.694000005722046
2010-02-11,6.823800086975098,6.848209857940674,3.7330000400543213
2010-02-12,6.823500156402588,6.848209857940674,3.693000078201294
2010-02-15,6.823400020599365,6.848209857940674,
2010-02-16,6.823400020599365,6.848209857940674,3.6640000343322754
2010-02-17,6.823400020599365,6.848209857940674,3.742000102996826
2010-02-18,6.823400020599365,6.848209857940674,3.802999973297119
2010-02-19,6.8190999031066895,6.848209857940674,3.7820000648498535
2010-02-22,6.81790018081665,6.848209857940674,3.7990000247955322
2010-02-23,6.81820011138916,6.848209857940674,3.690999984741211
2010-02-24,6.816999912261963,6.848209857940674,3.694999933242798
2010-02-25,6.81689977645874,6.848209857940674,3.6419999599456787
2010-02-26,6.816699981689453,6.848209857940674,3.5950000286102295
2010-03-01,6.816400051116943,6.848209857940674,3.6059999465942383
2010-03-02,6.817500114440918,6.848209857940674,3.614000082015991
2010-03-03,6.815899848937988,6.848209857940674,3.625
2010-03-04,6.8165998458862305,6.848209857940674,3.6059999465942383
2010-03-05,6.816500186920166,6.848209857940674,3.681999921798706
2010-03-08,6.816999912261963,6.848209857940674,3.7079999446868896
2010-03-09,6.817399978637695,6.848209857940674,3.7009999752044678
2010-03-10,6.816100120544434,6.848209857940674,3.7200000286102295
2010-03-11,6.816199779510498,6.848209857940674,3.7200000286102295
2010-03-12,6.815400123596191,6.848209857940674,3.7100000381469727
2010-03-15,6.816100120544434,6.848209857940674,3.7039999961853027
2010-03-16,6.815999984741211,6.848209857940674,3.6530001163482666
2010-03-17,6.816999912261963,6.848209857940674,3.6419999599456787
2010-03-18,6.817500114440918,6.848209857940674,3.671999931335449
2010-03-19,6.816500186920166,6.848209857940674,3.687000036239624
2010-03-22,6.816800117492676,6.848209857940674,3.6630001068115234
2010-03-23,6.8165998458862305,6.848209857940674,3.680000066757202
2010-03-24,6.8171000480651855,6.848209857940674,3.8289999961853027
2010-03-25,6.817399978637695,6.848209857940674,3.9010000228881836
2010-03-26,6.816999912261963,6.848209857940674,3.8550000190734863
2010-03-29,6.816699981689453,6.848209857940674,3.864000082015991
2010-03-30,6.816100120544434,6.848209857940674,3.868000030517578
2010-03-31,6.815899848937988,6.848209857940674,3.8329999446868896
2010-04-01,6.816400051116943,6.848209857940674,3.8589999675750732
2010-04-02,6.816400051116943,6.848209857940674,
2010-04-05,6.816400051116943,6.848209857940674,3.99399995803833
2010-04-06,6.815999984741211,6.848209857940674,3.9679999351501465
2010-04-07,6.815400123596191,6.848209857940674,3.86299991607666
2010-04-08,6.815499782562256,6.848209857940674,3.8959999084472656
2010-04-09,6.813399791717529,6.848209857940674,3.888000011444092
2010-04-12,6.815899848937988,6.848209857940674,3.8459999561309814
2010-04-13,6.816100120544434,6.848209857940674,3.811000108718872
2010-04-14,6.815899848937988,6.848209857940674,3.8550000190734863
2010-04-15,6.815800189971924,6.848209857940674,3.8480000495910645
2010-04-16,6.816100120544434,6.848209857940674,3.7699999809265137
2010-04-19,6.815999984741211,6.848209857940674,3.806999921798706
2010-04-20,6.815899848937988,6.848209857940674,3.805000066757202
2010-04-21,6.8171000480651855,6.848209857940674,3.73799991607666
2010-04-22,6.816400051116943,6.848209857940674,3.7720000743865967
2010-04-23,6.817999839782715,6.848209857940674,3.816999912261963
2010-04-26,6.817599773406982,6.848209857940674,3.815000057220459
2010-04-27,6.8165998458862305,6.848209857940674,3.690000057220459
2010-04-28,6.815000057220459,6.848209857940674,3.7730000019073486
2010-04-29,6.815800189971924,6.848209857940674,3.7279999256134033
2010-04-30,6.815999984741211,6.848209857940674,3.6630001068115234
2010-05-03,6.815000057220459,6.848209857940674,3.7049999237060547
2010-05-04,6.816299915313721,6.848209857940674,3.61299991607666
2010-05-05,6.8171000480651855,6.848209857940674,3.549999952316284
2010-05-06,6.816800117492676,6.848209857940674,3.3980000019073486
2010-05-07,6.815700054168701,6.848209857940674,3.428999900817871
2010-05-10,6.8165998458862305,6.848209857940674,3.5390000343322754
2010-05-11,6.817699909210205,6.848209857940674,3.5350000858306885
2010-05-12,6.817599773406982,6.848209857940674,3.566999912261963
2010-05-13,6.817599773406982,6.848209857940674,3.563999891281128
2010-05-14,6.8165998458862305,6.848209857940674,3.441999912261963
2010-05-17,6.817699909210205,6.848209857940674,3.4719998836517334
2010-05-18,6.816999912261963,6.848209857940674,3.375999927520752
2010-05-19,6.817500114440918,6.848209857940674,3.3589999675750732
2010-05-20,6.81790018081665,6.848209857940674,3.2639999389648438
2010-05-21,6.816299915313721,6.848209857940674,3.200000047683716
2010-05-24,6.816299915313721,6.848209857940674,3.2269999980926514
2010-05-25,6.821300029754639,6.848209857940674,3.1579999923706055
2010-05-26,6.817999839782715,6.848209857940674,3.2179999351501465
2010-05-27,6.820499897003174,6.848209857940674,3.3380000591278076
2010-05-28,6.820300102233887,6.848209857940674,3.3010001182556152
2010-05-31,6.8180999755859375,6.848209857940674,
2010-06-01,6.81879997253418,6.848209857940674,3.2960000038146973
2010-06-02,6.821300029754639,6.848209857940674,3.3340001106262207
2010-06-03,6.820000171661377,6.848209857940674,3.378999948501587
2010-06-04,6.818699836730957,6.848209857940674,3.194999933242798
2010-06-07,6.8206000328063965,6.848209857940674,3.184000015258789
2010-06-08,6.819499969482422,6.848209857940674,3.1679999828338623
2010-06-09,6.819200038909912,6.848209857940674,3.187000036239624
2010-06-10,6.8190999031066895,6.848209857940674,3.319000005722046
2010-06-11,6.822299957275391,6.848209857940674,3.2160000801086426
2010-06-14,6.823299884796143,6.848209857940674,3.2750000953674316
2010-06-15,6.823299884796143,6.848209857940674,3.309999942779541
2010-06-16,6.823299884796143,6.848209857940674,3.2820000648498535
2010-06-17,6.819300174713135,6.848209857940674,3.190000057220459
2010-06-18,6.818600177764893,6.848209857940674,3.2230000495910645
2010-06-21,6.787099838256836,6.848209857940674,3.243000030517578
2010-06-22,6.802000045776367,6.848209857940674,3.1659998893737793
2010-06-23,6.8003997802734375,6.848209857940674,3.115000009536743
2010-06-24,6.790999889373779,6.848209857940674,3.122999906539917
2010-06-25,6.782199859619141,6.848209857940674,3.11299991607666
