Date,sp500,nasdaq_composite,dow_jones,russell_2000,vix
2010-01-04,1132.989990234375,2308.419921875,10583.9599609375,640.0999755859375,20.040000915527344
2010-01-05,1136.52001953125,2308.7099609375,10572.01953125,638.489990234375,19.350000381469727
2010-01-06,1137.1400146484375,2301.090087890625,10573.6796875,637.9500122070312,19.15999984741211
2010-01-07,1141.68994140625,2300.050048828125,10606.8603515625,641.969970703125,19.059999465942383
2010-01-08,1144.97998046875,2317.169921875,10618.1904296875,644.5599975585938,18.1299991607666
2010-01-11,1146.97998046875,2312.409912109375,10663.990234375,643.989990234375,17.549999237060547
2010-01-12,1136.219970703125,2282.31005859375,10627.259765625,635.5,18.25
2010-01-13,1145.6800537109375,2307.89990234375,10680.76953125,643.5599975585938,17.850000381469727
2010-01-14,1148.4599609375,2316.739990234375,10710.5498046875,646.4299926757812,17.6299991607666
2010-01-15,1136.030029296875,2287.989990234375,10609.650390625,637.9600219726562,17.90999984741211
2010-01-19,1150.22998046875,2320.39990234375,10725.4296875,649.1500244140625,17.579999923706055
2010-01-20,1138.0400390625,2291.25,10603.150390625,639.6099853515625,18.68000030517578
2010-01-21,1116.47998046875,2265.699951171875,10389.8798828125,628.3599853515625,22.270000457763672
2010-01-22,1091.760009765625,2205.2900390625,10172.98046875,617.1199951171875,27.309999465942383
2010-01-25,1096.780029296875,2210.800048828125,10196.8603515625,618.1099853515625,25.40999984741211
2010-01-26,1092.1700439453125,2203.72998046875,10194.2900390625,612.1599731445312,24.549999237060547
2010-01-27,1097.5,2221.409912109375,10236.16015625,618.3800048828125,23.139999389648438
2010-01-28,1084.530029296875,2179.0,10120.4599609375,607.9299926757812,23.729999542236328
2010-01-29,1073.8699951171875,2147.35009765625,10067.330078125,602.0399780273438,24.6200008392334
2010-02-01,1089.18994140625,2171.199951171875,10185.5302734375,609.25,22.59000015258789
2010-02-02,1103.3199462890625,2190.06005859375,10296.849609375,614.0499877929688,21.479999542236328
2010-02-03,1097.280029296875,2190.909912109375,10270.5498046875,610.6599731445312,21.600000381469727
2010-02-04,1063.1099853515625,2125.429931640625,10002.1796875,589.6799926757812,26.079999923706055
2010-02-05,1066.18994140625,2141.1201171875,10012.23046875,592.97998046875,26.110000610351562
2010-02-08,1056.739990234375,2126.050048828125,9908.3896484375,586.489990234375,26.510000228881836
2010-02-09,1070.52001953125,2150.8701171875,10058.6396484375,595.1699829101562,26.0
2010-02-10,1068.1300048828125,2147.8701171875,10038.3798828125,595.8200073242188,25.399999618530273
2010-02-11,1078.469970703125,2177.409912109375,10144.1904296875,605.4600219726562,23.959999084472656
2010-02-12,1075.510009765625,2183.530029296875,10099.1396484375,610.719970703125,22.729999542236328
2010-02-16,1094.8699951171875,2214.18994140625,10268.8095703125,620.8400268554688,22.25
2010-02-17,1099.510009765625,2226.2900390625,10309.240234375,624.8300170898438,21.719999313354492
2010-02-18,1106.75,2241.7099609375,10392.900390625,629.3200073242188,20.6299991607666
2010-02-19,1109.1700439453125,2243.8701171875,10402.349609375,631.6199951171875,20.020000457763672
2010-02-22,1108.010009765625,2242.030029296875,10383.3798828125,632.25,19.940000534057617
2010-02-23,1094.5999755859375,2213.43994140625,10282.41015625,625.0700073242188,21.3700008392334
2010-02-24,1105.239990234375,2235.89990234375,10374.16015625,630.4299926757812,20.270000457763672
2010-02-25,1102.93994140625,2234.219970703125,10321.0302734375,630.4600219726562,20.100000381469727
2010-02-26,1104.489990234375,2238.260009765625,10325.259765625,628.5599975585938,19.5
2010-03-01,1115.7099609375,2273.570068359375,10403.7900390625,642.6500244140625,19.260000228881836
