Date,sse_index,sse_50,csi_300,csi_500,csi_800,star_50,chinext,szse_component
2010-01-04,3243.760009765625,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,13533.3876953125
2010-01-05,3282.178955078125,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,13517.228515625
2010-01-06,3254.215087890625,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,13505.0283203125
2010-01-07,3192.77587890625,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,13235.33203125
2010-01-08,3195.9970703125,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,13267.2919921875
2010-01-11,3212.75,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,13160.9423828125
2010-01-12,3273.966064453125,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,13381.099609375
2010-01-13,3172.657958984375,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,13016.4140625
2010-01-14,3215.550048828125,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,13204.04296875
2010-01-15,3224.152099609375,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,13264.2216796875
2010-01-18,3237.097900390625,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,13361.3701171875
2010-01-19,3246.8740234375,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,13350.5205078125
2010-01-20,3151.85009765625,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12916.005859375
2010-01-21,3158.863037109375,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12917.005859375
2010-01-22,3128.587890625,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12595.798828125
2010-01-25,3094.410888671875,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12470.05078125
2010-01-26,3019.39404296875,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12162.4228515625
2010-01-27,2986.60693359375,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12046.64453125
2010-01-28,2994.14306640625,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12120.3447265625
2010-01-29,2989.2919921875,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12137.064453125
2010-02-01,2941.360107421875,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,11988.9765625
2010-02-02,2934.712890625,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,11912.7958984375
2010-02-03,3003.8349609375,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12262.43359375
2010-02-04,2995.30810546875,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12169.34375
2010-02-05,2939.402099609375,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,11917.005859375
2010-02-08,2935.174072265625,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,11947.2060546875
2010-02-09,2948.842041015625,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,11970.306640625
2010-02-10,2982.5,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12185.2431640625
2010-02-11,2985.4990234375,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12224.462890625
2010-02-12,3018.133056640625,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12304.6416015625
2010-02-22,3003.39794921875,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12213.4033203125
2010-02-23,2982.574951171875,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12069.07421875
2010-02-24,3022.177001953125,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12281.953125
2010-02-25,3060.617919921875,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12494.1298828125
2010-02-26,3051.943115234375,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12436.5205078125
2010-03-01,3087.842041015625,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12588.1181640625
2010-03-02,3073.10791015625,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12548.76953125
2010-03-03,3097.0048828125,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12612.548828125
2010-03-04,3023.373046875,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12312.7509765625
2010-03-05,3031.06494140625,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12341.6015625
2010-03-08,3053.23193359375,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12437.4306640625
2010-03-09,3069.14111328125,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12507.5205078125
2010-03-10,3048.927001953125,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12391.51171875
2010-03-11,3051.281982421875,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12367.5517578125
2010-03-12,3013.412109375,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12168.9736328125
2010-03-15,2976.93896484375,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,11903.1962890625
2010-03-16,2992.841064453125,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,11948.6259765625
2010-03-17,3050.47900390625,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12233.6328125
2010-03-18,3046.089111328125,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12236.59375
2010-03-19,3067.75,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12352.78125
2010-03-22,3074.575927734375,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12352.3115234375
2010-03-23,3053.125,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12304.841796875
2010-03-24,3056.80810546875,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12289.9013671875
2010-03-25,3019.176025390625,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12086.7646484375
2010-03-26,3059.715087890625,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12240.2236328125
2010-03-29,3123.798095703125,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12552.3095703125
2010-03-30,3128.468017578125,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12592.8984375
2010-03-31,3109.10498046875,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12494.2099609375
2010-04-01,3147.416015625,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12685.91796875
2010-04-02,3157.95703125,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12767.7177734375
2010-04-06,3158.680908203125,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12702.697265625
2010-04-07,3148.221923828125,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12631.828125
2010-04-08,3118.708984375,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12426.8603515625
2010-04-09,3145.346923828125,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12554.9794921875
2010-04-12,3129.262939453125,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12399.0615234375
2010-04-13,3161.2509765625,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12511.75
2010-04-14,3166.18310546875,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12557.55859375
2010-04-15,3164.966064453125,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12513.150390625
2010-04-16,3130.302001953125,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,12416.7216796875
2010-04-19,2980.297119140625,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,11644.44921875
2010-04-20,2979.532958984375,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,11538.8515625
2010-04-21,3033.278076171875,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,11766.6884765625
2010-04-22,2999.48388671875,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,11703.8291015625
2010-04-23,2983.537109375,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,11702.7392578125
2010-04-26,2969.5029296875,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,11602.5
2010-04-27,2907.927978515625,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,11355.2421875
2010-04-28,2900.3310546875,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,11333.72265625
2010-04-29,2868.431884765625,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,11196.224609375
2010-04-30,2870.611083984375,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,11162.4150390625
2010-05-04,2835.277099609375,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,10960.646484375
2010-05-05,2857.15087890625,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,11003.607421875
2010-05-06,2739.701904296875,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,10422.4423828125
2010-05-07,2688.383056640625,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,10146.3056640625
2010-05-10,2698.757080078125,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,10263.935546875
2010-05-11,2647.572998046875,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,10091.0869140625
2010-05-12,2655.714111328125,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,10146.515625
2010-05-13,2710.507080078125,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,10417.6923828125
2010-05-14,2696.62890625,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,10330.0234375
2010-05-17,2559.930908203125,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,9731.611328125
2010-05-18,2594.782958984375,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,10003.6982421875
2010-05-19,2587.806884765625,2967.50341796875,,8342.421875,5416.91845703125,1493.5045166015625,3687.168212890625,9991.2890625
