date,sp500,nasdaq_composite,dow_jones,russell_2000,vix,sse_index,csi_300,szse_component,usd_cny,us_10y_yield,sp500_ret,nasdaq_composite_ret,dow_jones_ret,russell_2000_ret,vix_ret,sse_index_ret,csi_300_ret,szse_component_ret,usd_cny_ret,us_10y_yield_ret,us_cn_sp500_csi300_corr_60d,china_us_equity_relative_strength_20d,us_cn_nasdaq_sse_corr_60d,sse_to_nasdaq_signal,sse_to_nasdaq_signal_z,usdcny_csi300_corr_60d,usdcny_sp500_corr_60d,usdcny_mom_20d,usdcny_z_252d,china_equity_mom_20d,china_equity_z_252d,us_equity_mom_20d,us_equity_z_252d,us10y_china_equity_corr_60d
2010-01-04,1132.989990234375,2308.419921875,10583.9599609375,640.0999755859375,20.040000915527344,3243.760009765625,5128.22021484375,13533.3876953125,6.81689977645874,3.8410000801086426,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-05,1136.52001953125,2308.7099609375,10572.01953125,638.489990234375,19.350000381469727,3282.178955078125,5128.22021484375,13517.228515625,6.816999912261963,3.755000114440918,0.0031156756258232665,0.00012564397826908547,-0.0011281627794860194,-0.0025152092063255305,-0.034431162801145,0.011843954298973003,0.0,-0.0011940232594604971,1.4689346551355342e-05,-0.022389993198149605,,,,,,,,,,,,,,
2010-01-06,1137.1400146484375,2301.090087890625,10573.6796875,637.9500122070312,19.15999984741211,3254.215087890625,5128.22021484375,13505.0283203125,6.818299770355225,3.808000087738037,0.0005455206301101523,-0.003300489526965489,0.00015703302903413707,-0.00084571103009079,-0.009819148853328685,-0.008519909356019317,0.0,-0.0009025663284746299,0.00019067890714263847,0.01411450643990464,,,,,,,,,,,,,,
2010-01-07,1141.68994140625,2300.050048828125,10606.8603515625,641.969970703125,19.059999465942383,3192.77587890625,5128.22021484375,13235.33203125,6.817800045013428,3.822000026702881,0.00400120187417663,-0.00045197668182273,0.003138043239736543,0.006301369102865051,-0.005219226631843266,-0.018879885725131884,0.0,-0.019970064680046473,-7.329178220782939e-05,0.0036764544753884465,,,,,,,,,,,,,,
2010-01-08,1144.97998046875,2317.169921875,10618.1904296875,644.5599975585938,18.1299991607666,3195.9970703125,5128.22021484375,13267.2919921875,6.817500114440918,3.808000087738037,0.0028817272914287706,0.007443261095817277,0.0010681839629698153,0.004034498455795399,-0.04879330174366292,0.0010088999442559032,0.0,0.002414745686926345,-4.399228057871962e-05,-0.0036629876679831197,,,,,,,,,,,,,,
2010-01-11,1146.97998046875,2312.409912109375,10663.990234375,643.989990234375,17.549999237060547,3212.75,5128.22021484375,13160.9423828125,6.816500186920166,3.818000078201294,0.0017467554316374923,-0.0020542342280074344,0.004313334272047609,-0.0008843355566243716,-0.031991172121021205,0.005241847635943486,0.0,-0.008015924382882678,-0.00014667070098528523,0.0026260478552659894,,,,,,,,,,,,,,
2010-01-12,1136.219970703125,2282.31005859375,10627.259765625,635.5,18.25,3273.966064453125,5128.22021484375,13381.099609375,6.816599845886231,3.7190001010894775,-0.009381166148364262,-0.013016659960676247,-0.0034443456851264154,-0.013183419561048071,0.039886085092314616,0.019054101456112305,0.0,0.01672807464380477,1.4620254284780643e-05,-0.025929799655335928,,,,,,,,,,,,,,
2010-01-13,1145.6800537109375,2307.89990234375,10680.76953125,643.5599975585938,17.850000381469727,3172.657958984375,5128.22021484375,13016.4140625,6.816800117492676,3.7829999923706055,0.008325925658531075,0.01121225560639516,0.005035142341968779,0.012682922987558909,-0.021917787316727333,-0.0309435417088455,0.0,-0.02725378014669999,2.937998576602041e-05,0.017208897429817016,,,,,,,,,,,,,,
2010-01-14,1148.4599609375,2316.739990234375,10710.5498046875,646.4299926757812,17.6299991607666,3215.550048828125,5128.22021484375,13204.04296875,6.816999912261963,3.733999967575073,0.0024264254383745687,0.0038303601822797795,0.002788214215311724,0.0044595610791147156,-0.012324998095322726,0.01351929215132941,0.0,0.014414792380534003,2.93091723160277e-05,-0.012952689636361092,,,,,,,,,,,,,,
2010-01-15,1136.030029296875,2287.989990234375,10609.650390625,637.9600219726562,17.90999984741211,3224.152099609375,5128.22021484375,13264.2216796875,6.816999912261963,3.6760001182556152,-0.010823130159869354,-0.012409679170380938,-0.009420563454019981,-0.013102688302046528,0.015882058988897496,0.002675141313500884,0.0,0.004557597326813045,0.0,-0.015532900327560495,,,,,,,,,,,,,,
2010-01-18,1136.030029296875,2287.989990234375,10609.650390625,637.9600219726562,17.90999984741211,3237.097900390625,5128.22021484375,13361.3701171875,6.816800117492676,3.6760001182556152,0.0,0.0,0.0,0.0,0.0,0.004015257463448663,0.0,0.007324096343230613,-2.930831331360295e-05,0.0,,,,,,,,,,,,,,
2010-01-19,1150.22998046875,2320.39990234375,10725.4296875,649.1500244140625,17.579999923706055,3246.8740234375,5128.22021484375,13350.5205078125,6.816800117492676,3.7070000171661377,0.012499626599363545,0.014165233347919859,0.010912640154222775,0.01754028788011719,-0.01842545653364358,0.0030200269956912607,0.0,-0.0008120132351578935,0.0,0.00843305166302133,,,,,,,,,,,,,,
2010-01-20,1138.0400390625,2291.25,10603.150390625,639.6099853515625,18.68000030517578,3151.85009765625,5128.22021484375,12916.005859375,6.817299842834473,3.658999919891357,-0.010597829662970737,-0.012562447668743149,-0.01140087627608155,-0.014696200729732767,0.06257112549735644,-0.029266280457856286,0.0,-0.032546644768136845,7.33079059358488e-05,-0.012948502037363085,,,,,,,,,,,,,,
2010-01-21,1116.47998046875,2265.699951171875,10389.8798828125,628.3599853515625,22.270000457763672,3158.863037109375,5128.22021484375,12917.005859375,6.817699909210205,3.611000061035156,-0.01894490338978838,-0.011151139695853796,-0.020113881248073895,-0.01758884360414792,0.19218415920438647,0.0022250231565072998,0.0,7.74233157594395e-05,5.868399292330295e-05,-0.013118300056597532,,,,,,,,,,,,,,
2010-01-22,1091.760009765625,2205.2900390625,10172.98046875,617.1199951171875,27.309999465942383,3128.587890625,5128.22021484375,12595.798828125,6.816999912261963,3.5980000495910645,-0.022140988764300484,-0.026662803288727388,-0.020876027106079165,-0.017887819874599975,0.22631337694569686,-0.009584190934748271,0.0,-0.02486698811991883,-0.00010267347603498678,-0.003600113881018552,,,,,,,,,,,,,,
2010-01-25,1096.780029296875,2210.800048828125,10196.8603515625,618.1099853515625,25.40999984741211,3094.410888671875,5128.22021484375,12470.05078125,6.81689977645874,3.630000114440918,0.004598098012701168,0.0024985419913143847,0.002347383137700554,0.0016042102706248507,-0.06957157289218241,-0.01092409839453079,0.0,-0.009983332426222846,-1.468913077773415e-05,0.008893847806781041,,,,,,,,,,,,,,
2010-01-26,1092.1700439453125,2203.72998046875,10194.2900390625,612.1599731445312,24.549999237060547,3019.39404296875,5128.22021484375,12162.4228515625,6.816599845886231,3.630000114440918,-0.004203199573680982,-0.0031979682482469185,-0.0002520690105956014,-0.00962613830554293,-0.03384496715922447,-0.024242690580539628,0.0,-0.0246693405731796,-4.399809038480029e-05,0.0,,,,,,,,,,,,,,
2010-01-27,1097.5,2221.409912109375,10236.16015625,618.3800048828125,23.13999938964844,2986.60693359375,5128.22021484375,12046.64453125,6.816999912261963,3.6440000534057617,0.004880152210944955,0.008022730460319094,0.0041072126677839105,0.01016079458173369,-0.0574338041234469,-0.0108588375377342,0.0,-0.009519346739175871,5.869001918501482e-05,0.0038567323756131255,,,,,,,,,,,,,,
2010-01-28,1084.530029296875,2179.0,10120.4599609375,607.9299926757812,23.729999542236328,2994.14306640625,5128.22021484375,12120.3447265625,6.81689977645874,3.6579999923706055,-0.011817740959567224,-0.019091439125300425,-0.011303085683146086,-0.016899013752897152,0.0254969822018154,0.002523309220149761,0.0,0.006117902385291973,-1.468913077773415e-05,0.0038419151371194005,,,,,,,,,,,,,,
2010-01-29,1073.8699951171875,2147.35009765625,10067.330078125,602.0399780273438,24.6200008392334,2989.2919921875,5128.22021484375,12137.064453125,6.81689977645874,3.608999967575073,-0.009829173828039273,-0.014524966656149663,-0.005249749815479543,-0.009688639677922106,0.03750532297368925,-0.0016201878504665812,0.0,0.0013794761568008962,0.0,-0.013395304783414663,,,,,,,,,,,,,,
2010-02-01,1089.18994140625,2171.199951171875,10185.5302734375,609.25,22.59000015258789,2941.360107421875,5128.22021484375,11988.9765625,6.816999912261963,3.6540000438690186,0.014266108894671836,0.011106644203782157,0.011740967505310396,0.011975985376055487,-0.0824533150872434,-0.01603452753725454,0.0,-0.012201293912291189,1.4689346551355342e-05,0.01246884918211344,,0.03845091481881724,,,,,,1.4736025595651903e-05,,0.0,,-0.03845091481881724,,
2010-02-02,1103.3199462890625,2190.06005859375,10296.849609375,614.0499877929688,21.479999542236328,2934.712890625,5128.22021484375,11912.7958984375,6.815000057220459,3.634999990463257,0.01297294837718499,0.008686490349124831,0.010929164505828926,0.007878519151364394,-0.049136812875337776,-0.0022599126098509226,0.0,-0.006354225789445889,-0.00029336292610282477,-0.00519979561512085,,0.028593642067455516,,,,,,-0.0002933162470585282,,0.0,,-0.028593642067455516,,
2010-02-03,1097.280029296875,2190.909912109375,10270.5498046875,610.6599731445312,21.600000381469727,3003.8349609375,5128.22021484375,12262.43359375,6.81689977645874,3.703000068664551,-0.00547431142933863,0.0003880503241406874,-0.002554160319439336,-0.00552074703335137,0.005586631368284634,0.02355326496616139,0.0,0.02934975956050412,0.00027875557187528877,0.01870703669317697,,0.0346134741269043,,,,,,-0.0002052395823258779,,0.0,,-0.0346134741269043,,
2010-02-04,1063.1099853515625,2125.429931640625,10002.1796875,589.6799926757812,26.07999992370605,2995.30810546875,5128.22021484375,12169.34375,6.81689977645874,3.609999895095825,-0.031140677888039425,-0.02988711681244205,-0.026130063364768974,-0.03435623979203306,0.20740738255169844,-0.0028386564440573414,0.0,-0.007591465677534548,0.0,-0.025114818213402113,,0.06975535388912035,,,,,,-0.00013194780011804852,,0.0,,-0.06975535388912035,,
2010-02-05,1066.18994140625,2141.1201171875,10012.23046875,592.97998046875,26.11000061035156,2939.402099609375,5128.22021484375,11917.005859375,6.81850004196167,3.5460000038146973,0.002897118921960873,0.007382123171081778,0.001004859097118782,0.005596234964653446,0.001150333080263577,-0.018664525948867583,0.0,-0.020735538070818293,0.00023474974774551072,-0.01772850225510303,,0.06973996225858825,,,,,,0.00014679422820618182,,0.0,,-0.06973996225858825,,
2010-02-08,1056.739990234375,2126.050048828125,9908.3896484375,586.489990234375,26.51000022888184,2935.174072265625,5128.22021484375,11947.2060546875,6.816999912261963,3.5920000076293945,-0.00886329049344714,-0.007038403982290609,-0.01037139732616088,-0.01094470378113721,0.015319785874370995,-0.0014383970618758735,0.0,0.002534209991072789,-0.0002200087541944784,0.012972364287989757,,0.08035000818367288,,,,,,7.345617499698864e-05,,0.0,,-0.08035000818367288,,
