date,sp500,nasdaq_composite,dow_jones,russell_2000,vix,sse_index,csi_300,szse_component,usd_cny,us_10y_yield
2010-01-04,1132.989990234375,2308.419921875,10583.9599609375,640.0999755859375,20.040000915527344,3243.760009765625,5128.22021484375,13533.3876953125,6.81689977645874,3.8410000801086426
2010-01-05,1136.52001953125,2308.7099609375,10572.01953125,638.489990234375,19.350000381469727,3282.178955078125,5128.22021484375,13517.228515625,6.816999912261963,3.755000114440918
2010-01-06,1137.1400146484375,2301.090087890625,10573.6796875,637.9500122070312,19.15999984741211,3254.215087890625,5128.22021484375,13505.0283203125,6.818299770355225,3.808000087738037
2010-01-07,1141.68994140625,2300.050048828125,10606.8603515625,641.969970703125,19.059999465942383,3192.77587890625,5128.22021484375,13235.33203125,6.817800045013428,3.822000026702881
2010-01-08,1144.97998046875,2317.169921875,10618.1904296875,644.5599975585938,18.1299991607666,3195.9970703125,5128.22021484375,13267.2919921875,6.817500114440918,3.808000087738037
2010-01-11,1146.97998046875,2312.409912109375,10663.990234375,643.989990234375,17.549999237060547,3212.75,5128.22021484375,13160.9423828125,6.816500186920166,3.818000078201294
2010-01-12,1136.219970703125,2282.31005859375,10627.259765625,635.5,18.25,3273.966064453125,5128.22021484375,13381.099609375,6.816599845886231,3.7190001010894775
2010-01-13,1145.6800537109375,2307.89990234375,10680.76953125,643.5599975585938,17.850000381469727,3172.657958984375,5128.22021484375,13016.4140625,6.816800117492676,3.7829999923706055
2010-01-14,1148.4599609375,2316.739990234375,10710.5498046875,646.4299926757812,17.6299991607666,3215.550048828125,5128.22021484375,13204.04296875,6.816999912261963,3.733999967575073
2010-01-15,1136.030029296875,2287.989990234375,10609.650390625,637.9600219726562,17.90999984741211,3224.152099609375,5128.22021484375,13264.2216796875,6.816999912261963,3.6760001182556152
2010-01-18,1136.030029296875,2287.989990234375,10609.650390625,637.9600219726562,17.90999984741211,3237.097900390625,5128.22021484375,13361.3701171875,6.816800117492676,3.6760001182556152
2010-01-19,1150.22998046875,2320.39990234375,10725.4296875,649.1500244140625,17.579999923706055,3246.8740234375,5128.22021484375,13350.5205078125,6.816800117492676,3.7070000171661377
2010-01-20,1138.0400390625,2291.25,10603.150390625,639.6099853515625,18.68000030517578,3151.85009765625,5128.22021484375,12916.005859375,6.817299842834473,3.658999919891357
2010-01-21,1116.47998046875,2265.699951171875,10389.8798828125,628.3599853515625,22.270000457763672,3158.863037109375,5128.22021484375,12917.005859375,6.817699909210205,3.611000061035156
2010-01-22,1091.760009765625,2205.2900390625,10172.98046875,617.1199951171875,27.309999465942383,3128.587890625,5128.22021484375,12595.798828125,6.816999912261963,3.5980000495910645
2010-01-25,1096.780029296875,2210.800048828125,10196.8603515625,618.1099853515625,25.40999984741211,3094.410888671875,5128.22021484375,12470.05078125,6.81689977645874,3.630000114440918
2010-01-26,1092.1700439453125,2203.72998046875,10194.2900390625,612.1599731445312,24.549999237060547,3019.39404296875,5128.22021484375,12162.4228515625,6.816599845886231,3.630000114440918
2010-01-27,1097.5,2221.409912109375,10236.16015625,618.3800048828125,23.13999938964844,2986.60693359375,5128.22021484375,12046.64453125,6.816999912261963,3.6440000534057617
2010-01-28,1084.530029296875,2179.0,10120.4599609375,607.9299926757812,23.729999542236328,2994.14306640625,5128.22021484375,12120.3447265625,6.81689977645874,3.6579999923706055
2010-01-29,1073.8699951171875,2147.35009765625,10067.330078125,602.0399780273438,24.6200008392334,2989.2919921875,5128.22021484375,12137.064453125,6.81689977645874,3.608999967575073
2010-02-01,1089.18994140625,2171.199951171875,10185.5302734375,609.25,22.59000015258789,2941.360107421875,5128.22021484375,11988.9765625,6.816999912261963,3.6540000438690186
2010-02-02,1103.3199462890625,2190.06005859375,10296.849609375,614.0499877929688,21.479999542236328,2934.712890625,5128.22021484375,11912.7958984375,6.815000057220459,3.634999990463257
2010-02-03,1097.280029296875,2190.909912109375,10270.5498046875,610.6599731445312,21.600000381469727,3003.8349609375,5128.22021484375,12262.43359375,6.81689977645874,3.703000068664551
2010-02-04,1063.1099853515625,2125.429931640625,10002.1796875,589.6799926757812,26.07999992370605,2995.30810546875,5128.22021484375,12169.34375,6.81689977645874,3.609999895095825
2010-02-05,1066.18994140625,2141.1201171875,10012.23046875,592.97998046875,26.11000061035156,2939.402099609375,5128.22021484375,11917.005859375,6.81850004196167,3.5460000038146973
2010-02-08,1056.739990234375,2126.050048828125,9908.3896484375,586.489990234375,26.51000022888184,2935.174072265625,5128.22021484375,11947.2060546875,6.816999912261963,3.5920000076293945
2010-02-09,1070.52001953125,2150.8701171875,10058.6396484375,595.1699829101562,26.0,2948.842041015625,5128.22021484375,11970.306640625,6.816599845886231,3.632999897003174
2010-02-10,1068.1300048828125,2147.8701171875,10038.3798828125,595.8200073242188,25.399999618530277,2982.5,5128.22021484375,12185.2431640625,6.818999767303467,3.694000005722046
2010-02-11,1078.469970703125,2177.409912109375,10144.1904296875,605.4600219726562,23.959999084472656,2985.4990234375,5128.22021484375,12224.462890625,6.823800086975098,3.733000040054321
2010-02-12,1075.510009765625,2183.530029296875,10099.1396484375,610.719970703125,22.729999542236328,3018.133056640625,5128.22021484375,12304.6416015625,6.823500156402588,3.693000078201294
