,sp500,nasdaq_composite,dow_jones,russell_2000,vix,sse_index,szse_component,usd_cny,us_10y_yield
sp500,1.0,0.9956879502527622,0.9948156876545265,0.9381335089471812,-0.20634161344565638,-0.37995392743781314,-0.49000730598863584,0.5784686654808809,0.3882734056718612
nasdaq_composite,0.9956879502527622,1.0,0.9910265467762026,0.940164473366487,-0.1667818485579544,-0.3901570058104347,-0.5027244436830246,0.5608719385126301,0.4222664858619351
dow_jones,0.9948156876545265,0.9910265467762026,1.0,0.9399891764750409,-0.17283105462448722,-0.3917364674660251,-0.5090238978589778,0.5579822700002252,0.44148942348455744
russell_2000,0.9381335089471812,0.940164473366487,0.9399891764750409,1.0,-0.3133455150376209,-0.26802605686076825,-0.3981921286941148,0.45226849239321626,0.58539391903399
vix,-0.20634161344565638,-0.1667818485579544,-0.17283105462448722,-0.3133455150376209,1.0,-0.252440625685403,-0.22996410995431318,-0.1421341813365286,0.02553009923410181
sse_index,-0.37995392743781314,-0.3901570058104347,-0.3917364674660251,-0.26802605686076825,-0.252440625685403,1.0,0.9642267584250365,-0.6118236574232286,-0.10436772252660735
szse_component,-0.49000730598863584,-0.5027244436830246,-0.5090238978589778,-0.3981921286941148,-0.22996410995431318,0.9642267584250365,1.0,-0.6659271991247883,-0.25470990979201624
usd_cny,0.5784686654808809,0.5608719385126301,0.5579822700002252,0.45226849239321626,-0.1421341813365286,-0.6118236574232286,-0.6659271991247883,1.0,-0.005090635706450406
us_10y_yield,0.3882734056718612,0.4222664858619351,0.44148942348455744,0.58539391903399,0.02553009923410181,-0.10436772252660735,-0.25470990979201624,-0.005090635706450406,1.0
