,sp500,nasdaq_composite,dow_jones,russell_2000,vix,sse_index,szse_component,usd_cny,us_10y_yield
sp500,1.0,0.9956492566028474,0.993863811183368,0.9841002144185232,-0.6580842908275532,-0.5410423078016301,-0.7353067394371685,-0.8179694375003023,-0.19055956863277634
nasdaq_composite,0.9956492566028474,1.0,0.9856411955220538,0.9800135857105003,-0.625371095048321,-0.5307234803545433,-0.727798124793504,-0.8113318561126855,-0.18527262786631898
dow_jones,0.993863811183368,0.9856411955220538,1.0,0.9813372851433593,-0.6676707289923239,-0.5848521561061262,-0.7560719289729914,-0.8634388291566488,-0.2545874977379421
russell_2000,0.9841002144185232,0.9800135857105003,0.9813372851433593,1.0,-0.6756874026826585,-0.5382362984039398,-0.7114496002842551,-0.819576598577984,-0.11850370756099286
vix,-0.6580842908275532,-0.625371095048321,-0.6676707289923239,-0.6756874026826585,1.0,0.30112764481581217,0.3968363107683204,0.485912391908335,0.02129577242316366
sse_index,-0.5410423078016301,-0.5307234803545433,-0.5848521561061262,-0.5382362984039398,0.30112764481581217,1.0,0.931211976687055,0.7640237192691758,0.6225547308491434
szse_component,-0.7353067394371685,-0.727798124793504,-0.7560719289729914,-0.7114496002842551,0.3968363107683204,0.931211976687055,1.0,0.7910826898675363,0.4995509936358508
usd_cny,-0.8179694375003023,-0.8113318561126855,-0.8634388291566488,-0.819576598577984,0.485912391908335,0.7640237192691758,0.7910826898675363,1.0,0.5580658554590342
us_10y_yield,-0.19055956863277634,-0.18527262786631898,-0.2545874977379421,-0.11850370756099286,0.02129577242316366,0.6225547308491434,0.4995509936358508,0.5580658554590342,1.0
